id,lastLogOff,timeCreated,accountAge,accountAgePersonal,nrOfGamesOwned,totalNumberOfGamesPlayedFriends,meanNumberOfPGameslayedFriends,nrOfGamesPlayed,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalNrOfGamesOwnedFriends,meanNrOfGamesOwnedFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119807726974e+16,1511602720.0,1354332490.0,157824674.0,157270230.0,28.0,869.0,33.42307692307692,28.0,371633.0,26.0,3691806.0,141992.53846153847,1377.0,52.96153846153846,4108836509.0,158032173.42307693,3790113903.0,145773611.65384614
7.656119799607075e+16,1511455684.0,1201288215.0,310868949.0,310167469.0,63.0,649.0,29.5,55.0,562950.0,22.0,6627322.0,301241.9090909091,1056.0,48.0,2589869902.0,117721359.18181819,2575813650.0,117082438.63636364
7.65611982185136e+16,1511801314.0,1442402859.0,69754305.0,69398455.0,32.0,519.0,64.875,28.0,152034.0,8.0,1260037.0,157504.625,649.0,81.125,1062660598.0,132832574.75,1027526439.0,128440804.875
7.656119806072571e+16,1511660862.0,1332475571.0,179681593.0,179185291.0,40.0,982.0,70.14285714285714,22.0,10053.0,14.0,1490052.0,106432.28571428571,1728.0,123.42857142857143,2345565249.0,167540374.92857143,2261073919.0,161505279.92857143
7.656119805872598e+16,1511480561.0,1329121103.0,183036061.0,182359458.0,36.0,1575.0,87.5,16.0,19364.0,18.0,2618050.0,145447.22222222222,2231.0,123.94444444444444,3455203089.0,191955727.16666666,3442612067.0,191256225.94444445
7.656119808651306e+16,1511146044.0,1363529112.0,148628052.0,147616932.0,92.0,593.0,59.3,75.0,447564.0,10.0,3329728.0,332972.8,798.0,79.8,1362611270.0,136261127.0,1358792908.0,135879290.8
7.656119826951274e+16,1509891621.0,1450557807.0,61599357.0,59333814.0,8.0,74.0,10.571428571428571,3.0,35163.0,7.0,517052.0,73864.57142857143,156.0,22.285714285714285,571896371.0,81699481.57142857,554900571.0,79271510.14285715
7.656119835678003e+16,1511192788.0,1483699451.0,28457713.0,27493337.0,8.0,500.0,27.77777777777778,7.0,124102.0,18.0,3308238.0,183791.0,890.0,49.44444444444444,1602268071.0,89014892.83333333,1570508265.0,87250459.16666667
7.656119804236845e+16,1478737918.0,1306349962.0,205807202.0,172387956.0,15.0,325.0,27.083333333333332,6.0,101627.0,12.0,1747165.0,145597.08333333334,471.0,39.25,2545600702.0,212133391.83333334,2206516247.0,183876353.91666666
7.65611981852819e+16,1511850679.0,1426353238.0,85803926.0,85497441.0,5.0,47.0,2.1363636363636362,1.0,24042.0,22.0,582958.0,26498.090909090908,207.0,9.409090909090908,2387043957.0,108501998.04545455,2368742325.0,107670105.68181819
7.65611981068978e+16,1511131964.0,1378978840.0,133178324.0,132153124.0,38.0,1795.0,46.02564102564103,28.0,86832.0,39.0,4841179.0,124132.79487179487,2876.0,73.74358974358974,6424275305.0,164725007.82051283,6388225760.0,163800660.5128205
7.656119818214195e+16,1511871271.0,1425137205.0,87019959.0,86734066.0,25.0,196.0,17.818181818181817,16.0,129714.0,11.0,1560720.0,141883.63636363635,279.0,25.363636363636363,911091785.0,82826525.9090909,884652260.0,80422932.72727273
7.656119806048762e+16,1511114888.0,1331950903.0,180206261.0,179163985.0,24.0,343.0,24.5,22.0,76196.0,14.0,1845129.0,131794.92857142858,648.0,46.285714285714285,1790176125.0,127869723.21428572,1765787516.0,126127679.71428572
7.656119813811498e+16,1510794165.0,1401123291.0,111033873.0,109670874.0,51.0,186.0,26.571428571428573,45.0,266225.0,7.0,638104.0,91157.71428571429,270.0,38.57142857142857,949234602.0,135604943.14285713,922334120.0,131762017.14285715
7.656119806574539e+16,1511393345.0,1340317579.0,171839585.0,171075766.0,49.0,386.0,64.33333333333333,40.0,304526.0,6.0,1232000.0,205333.33333333334,498.0,83.0,912850705.0,152141784.16666666,906873662.0,151145610.33333334
7.656119805166144e+16,1502264467.0,1320243578.0,191913586.0,182020889.0,5.0,77.0,7.0,5.0,7357.0,11.0,256747.0,23340.636363636364,132.0,12.0,1320235850.0,120021440.9090909,1102258626.0,100205329.63636364
7.656119814842616e+16,1454759806.0,1407167642.0,104989522.0,47592164.0,12.0,230.0,38.333333333333336,1.0,22579.0,6.0,749510.0,124918.33333333333,304.0,50.666666666666664,974025942.0,162337657.0,899766653.0,149961108.83333334
7.65611982532664e+16,1511545448.0,1443787883.0,68369281.0,67757565.0,83.0,536.0,67.0,65.0,107308.0,8.0,1313663.0,164207.875,678.0,84.75,784088109.0,98011013.625,778453487.0,97306685.875
7.656119802101731e+16,1511200078.0,1265873553.0,246283611.0,245326525.0,20.0,278.0,34.75,13.0,121351.0,8.0,1133550.0,141693.75,396.0,49.5,886345711.0,110793213.875,880487021.0,110060877.625
7.656119801670093e+16,1474098030.0,1258881600.0,253275564.0,215216430.0,12.0,672.0,35.36842105263158,11.0,62032.0,19.0,2439119.0,128374.68421052632,930.0,48.94736842105263,4434318030.0,233385159.47368422,4335510887.0,228184783.52631578
