id,lastLogOff,timeCreated,accountAge,accountAgePersonal,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalGamecountFriends,meanGamecountFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119832943714e+16,1511076765.0,1473453957.0,38703098.0,37622808.0,78934.0,8.0,783779.0,97972.375,482.0,60.25,641665050.0,80208131.25,618982386.0,77372798.25
7.656119811250758e+16,1512053352.0,1382896126.0,129260929.0,129157226.0,131801.0,7.0,913861.0,130551.57142857143,1450.0,207.14285714285714,1447642784.0,206806112.0,1443750608.0,206250086.85714287
7.656119830189962e+16,1512141920.0,1462287523.0,49869532.0,49854397.0,43059.0,6.0,443608.0,73934.66666666667,66.0,11.0,568783042.0,94797173.66666667,566539451.0,94423241.83333333
7.656119806380163e+16,1511636598.0,1337242971.0,174914084.0,174393627.0,10303.0,56.0,1629008.0,29089.428571428572,2567.0,45.839285714285715,7343336648.0,131131011.57142857,6922558297.0,123617112.44642857
7.656119811696203e+16,1511108481.0,1386079161.0,126077894.0,125029320.0,113472.0,7.0,1213261.0,173323.0,416.0,59.42857142857143,1603373192.0,229053313.14285713,1595389378.0,227912768.2857143
7.656119818474242e+16,1511308424.0,1426091978.0,86065077.0,85216446.0,194125.0,8.0,1099038.0,137379.75,539.0,67.375,1488473215.0,186059151.875,1482606140.0,185325767.5
7.656119830116318e+16,1512058364.0,1461944427.0,50212628.0,50113937.0,37097.0,20.0,1432399.0,71619.95,763.0,38.15,1638915990.0,81945799.5,1627490243.0,81374512.15
7.656119801368357e+16,1511172208.0,1252876913.0,259280142.0,258295295.0,182027.0,14.0,2107080.0,150505.7142857143,444.0,31.714285714285715,2283878536.0,163134181.14285713,2242523171.0,160180226.5
7.656119805295046e+16,1511652122.0,1321709680.0,190447375.0,189942442.0,136014.0,11.0,1968534.0,178957.63636363635,405.0,36.81818181818182,1516803028.0,137891184.36363637,1495065108.0,135915009.8181818
7.656119832979552e+16,1509665693.0,1473581395.0,38575660.0,36084298.0,97549.0,6.0,398334.0,66389.0,135.0,22.5,466646354.0,77774392.33333333,458237530.0,76372921.66666667
7.656119798509163e+16,1511600727.0,1158866058.0,353290997.0,352734669.0,1861212.0,24.0,12489755.0,520406.4583333333,17209.0,717.0416666666666,6288516450.0,262021518.75,6277525649.0,261563568.70833334
7.65611980812207e+16,1511217593.0,1357971401.0,154185654.0,153246192.0,16575.0,6.0,131292.0,21882.0,72.0,12.0,854750689.0,142458448.16666666,850246518.0,141707753.0
7.656119810237891e+16,1511721626.0,1376232589.0,135924466.0,135489037.0,58726.0,17.0,719844.0,42343.76470588235,265.0,15.588235294117647,2294355084.0,134962063.7647059,2265604229.0,133270837.0
